concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,concept_code,source_vocabulary_id,source_code,source_code_description,source_frequency,source_frequency_validated,mapping_status,equivalence
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-29,VU afdeling VKNO,393,393,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-31,VU afdeling VLON,571,571,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-32,VU afdeling VNCH,232,232,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-33,VU afdeling VNEU,717,717,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-35,VU afdeling VOBS,33,33,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-36,VU afdeling VONI,112,112,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-37,VU afdeling VOOG,6,6,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-38,VU afdeling VORT,17,17,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-40,VU afdeling VTRA,970,970,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-41,VU afdeling VVAT,1733,1733,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-42,VU afdeling VVER,3,3,APPROVED,INEXACT
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Destination,10472-44,VU afdeling DUHP,1,1,APPROVED,UNMATCHED
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-45,VU afdeling VNCO,1928,1928,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-46,VU afdeling VIG1,532,532,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-47,VU afdeling VIG2,451,451,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-48,VU afdeling VTRF,18,18,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-49,VU afdeling VKKB_,1,1,APPROVED,INEXACT
9201,Inpatient Visit,Visit,Visit,Visit,IP,AUMC Destination,10472-50,VU afdeling VKKC ,5,5,APPROVED,INEXACT
8971,Inpatient Psychiatric Facility,Visit,Visit,CMS Place of Service,51,AUMC Destination,10472-51,VU afdeling VMPU,206,206,APPROVED,EQUAL
38004507,Medical Oncology,Provider,Physician Specialty,Medicare Specialty,90,AUMC Specialty,Oncologie Inwendig,Oncologie Inwendig,84,84,APPROVED,EQUAL
38004501,Hematology,Provider,Physician Specialty,Medicare Specialty,82,AUMC Specialty,Hematologie,Hematologie,249,249,APPROVED,EQUAL
38004479,Nephrology,Provider,Physician Specialty,Medicare Specialty,39,AUMC Specialty,Nefrologie,Nefrologie,389,389,APPROVED,EQUAL
38004459,Neurosurgery,Provider,Physician Specialty,Medicare Specialty,14,AUMC Specialty,Neurochirurgie,Neurochirurgie,2527,2527,APPROVED,EQUAL
38004467,Plastic And Reconstructive Surgery,Provider,Physician Specialty,Medicare Specialty,24,AUMC Specialty,Plastische chirurgie,Plastische chirurgie,40,40,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Specialty,ders,ders,64,64,APPROVED,EQUAL
38004496,Vascular Surgery,Provider,Physician Specialty,Medicare Specialty,77,AUMC Specialty,Vaatchirurgie,Vaatchirurgie,1443,1443,APPROVED,EQUAL
38004465,Orthopedic Surgery,Provider,Physician Specialty,Medicare Specialty,20,AUMC Specialty,Orthopedie,Orthopedie,204,204,APPROVED,EQUAL
38003905,Obstetrics,Provider,Physician Specialty,NUCC,207VX0000X,AUMC Specialty,Obstetrie,Obstetrie,15,15,APPROVED,EQUAL
38004447,General Surgery,Provider,Physician Specialty,Medicare Specialty,2,AUMC Specialty,Heelkunde Gastro-enterologie,Heelkunde Gastro-enterologie,1205,1205,APPROVED,EQUAL
38003905,Obstetrics,Provider,Physician Specialty,NUCC,207VX0000X,AUMC Specialty,Verloskunde,Verloskunde,16,16,APPROVED,EQUAL
38004500,Critical care (intensivist),Provider,Physician Specialty,Medicare Specialty,81,AUMC Specialty,Intensive Care Volwassenen,Intensive Care Volwassenen,1144,1144,APPROVED,EQUAL
38003902,Gynecology,Provider,Physician Specialty,NUCC,207VG0400X,AUMC Specialty,Gynaecologie,Gynaecologie,180,180,APPROVED,EQUAL
38004016,Trauma Surgery,Provider,Physician Specialty,NUCC,2086S0127X,AUMC Specialty,Traumatologie,Traumatologie,1163,1163,APPROVED,EQUAL
38004451,Cardiology,Provider,Physician Specialty,Medicare Specialty,6,AUMC Specialty,Cardiologie,Cardiologie,1331,1331,APPROVED,EQUAL
38004491,Rheumatology,Provider,Physician Specialty,Medicare Specialty,66,AUMC Specialty,Reumatologie,Reumatologie,4,4,APPROVED,EQUAL
38004474,Urology,Provider,Physician Specialty,Medicare Specialty,34,AUMC Specialty,Urologie,Urologie,216,216,APPROVED,EQUAL
38004497,Cardiac Surgery,Provider,Physician Specialty,Medicare Specialty,78,AUMC Specialty,Cardiochirurgie,Cardiochirurgie,7417,7417,APPROVED,EQUAL
38004508,Surgical Oncology,Provider,Physician Specialty,Medicare Specialty,91,AUMC Specialty,Heelkunde Oncologie,Heelkunde Oncologie,497,497,APPROVED,EQUAL
38004456,Internal Medicine,Provider,Physician Specialty,Medicare Specialty,11,AUMC Specialty,Inwendig,Inwendig,1364,1364,APPROVED,EQUAL
38004463,Ophthalmology,Provider,Physician Specialty,Medicare Specialty,18,AUMC Specialty,Oogheelkunde,Oogheelkunde,5,5,APPROVED,EQUAL
38004458,Neurology,Provider,Physician Specialty,Medicare Specialty,13,AUMC Specialty,Neurologie,Neurologie,786,786,APPROVED,EQUAL
38004472,Pulmonary Disease,Provider,Physician Specialty,Medicare Specialty,29,AUMC Specialty,Longziekte,Longziekte,482,482,APPROVED,EQUAL
38004504,Maxillofacial Surgery,Provider,Physician Specialty,Medicare Specialty,85,AUMC Specialty,Mondheelkunde,Mondheelkunde,20,20,APPROVED,EQUAL
38004473,Thoracic Surgery,Provider,Physician Specialty,Medicare Specialty,33,AUMC Specialty,Heelkunde Longen/Oncologie,Heelkunde Longen/Oncologie,395,395,APPROVED,EQUAL
38004455,Gastroenterology,Provider,Physician Specialty,Medicare Specialty,10,AUMC Specialty,"Maag-,Darm-,Leverziekten","Maag-,Darm-,Leverziekten",189,189,APPROVED,EQUAL
38004449,Otolaryngology,Provider,Physician Specialty,Medicare Specialty,4,AUMC Specialty,"Keel, Neus & Oorarts","Keel, Neus & Oorarts",376,376,APPROVED,EQUAL
9154,parts per thousand,Unit,Unit,UCUM,[ppth],AUMC Unit,210,o/oo,36,36,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,305,Sachet,46874,46874,APPROVED,EQUAL
8861,milligram per milliliter,Unit,Unit,UCUM,mg/mL,AUMC Unit,14,mg/ml,1153,1153,APPROVED,EQUAL
9514,gram per milliliter,Unit,Unit,UCUM,g/mL,AUMC Unit,67,g/ml,17,17,APPROVED,EQUAL
8587,milliliter,Unit,Unit,UCUM,mL,AUMC Unit,6,ml,1474705,1474705,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,240,fIE,1,1,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,306,Flacon,618,618,APPROVED,EQUAL
44777577,milli-international unit,Unit,Unit,UCUM,10*-3.[iU],AUMC Unit,243,mIE,36,36,APPROVED,EQUAL
720868,fraction,Unit,Unit,UCUM,{fraction},AUMC Unit,214,x TOT,97,97,APPROVED,EQUAL
8519,liter,Unit,Unit,UCUM,L,AUMC Unit,8,l,71,71,APPROVED,EQUAL
9570,milliliter per deciliter,Unit,Unit,UCUM,mL/dL,AUMC Unit,88,ml/dl,4,4,APPROVED,EQUAL
8698,liter per minute,Unit,Unit,UCUM,L/min,AUMC Unit,26,l/min,2,2,APPROVED,EQUAL
9628,picoliter,Unit,Unit,UCUM,pL,AUMC Unit,293,pl,7,7,APPROVED,EQUAL
8799,copies per milliliter,Unit,Unit,UCUM,{copies}/mL,AUMC Unit,215,kopie/ml,20,20,APPROVED,EQUAL
9573,millimole,Unit,Unit,UCUM,mmol,AUMC Unit,94,mmol,132837,132837,APPROVED,EQUAL
45891000,application,Unit,Unit,UCUM,[App],AUMC Unit,223,Lik,280882,280882,APPROVED,EQUAL
8504,gram,Unit,Unit,UCUM,g,AUMC Unit,9,g,244377,244377,APPROVED,EQUAL
45891000,application,Unit,Unit,UCUM,[App],AUMC Unit,299,Puff,87902,87902,APPROVED,EQUAL
9655,microgram,Unit,Unit,UCUM,ug,AUMC Unit,11,µg,17888,17888,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,217,10^2 kopie/ml,8,8,APPROVED,EQUAL
8576,milligram,Unit,Unit,UCUM,mg,AUMC Unit,10,mg,1957179,1957179,APPROVED,EQUAL
44777615,millimole per specimen,Unit,Unit,UCUM,mmol/{spec},AUMC Unit,234,mmol/portie,2,2,APPROVED,EQUAL
8512,day,Unit,Unit,UCUM,d,AUMC Unit,100,dag,68,68,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,332,AE/ml,26,26,APPROVED,EQUAL
9529,kilogram,Unit,Unit,UCUM,kg,AUMC Unit,12,kg,163,163,APPROVED,EQUAL
9484,degree,Unit,Unit,UCUM,deg,AUMC Unit,204,°,211,211,APPROVED,EQUAL
8583,femtoliter,Unit,Unit,UCUM,fL,AUMC Unit,55,fl,551,551,APPROVED,EQUAL
9211,minute,Unit,Unit,UCUM,',AUMC Unit,4,min,1993,1993,APPROVED,EQUAL
9485,decigram,Unit,Unit,UCUM,dg,AUMC Unit,255,dg,131,131,APPROVED,EQUAL
8739,pound (US),Unit,Unit,UCUM,[lb_us],AUMC Unit,49,lbs,204,204,APPROVED,EQUAL
9431,tablet,Unit,Unit,UCUM,{tbl},AUMC Unit,338,Tablet,56,56,APPROVED,EQUAL
8505,hour,Unit,Unit,UCUM,h,AUMC Unit,5,uur,143,143,APPROVED,EQUAL
8523,ratio,Unit,Unit,UCUM,{ratio},AUMC Unit,205,INR,6,6,APPROVED,EQUAL
8636,gram per liter,Unit,Unit,UCUM,g/L,AUMC Unit,62,g/l,1,1,APPROVED,EQUAL
9496,femtogram,Unit,Unit,UCUM,fg,AUMC Unit,256,fg,152,152,APPROVED,EQUAL
8582,centimeter,Unit,Unit,UCUM,cm,AUMC Unit,50,cm,145,145,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,318,Portie,50458,50458,APPROVED,EQUAL
9257,per milliliter,Unit,Unit,UCUM,/mL,AUMC Unit,195,/ml,1,1,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,244,nIE,1,1,APPROVED,EQUAL
8588,millimeter,Unit,Unit,UCUM,mm,AUMC Unit,51,mm,240,240,APPROVED,EQUAL
,,,,,,AUMC Unit,0,None,1677,1677,UNCHECKED,UNREVIEWED
8859,microgram per milliliter,Unit,Unit,UCUM,ug/mL,AUMC Unit,40,µg/ml,327,327,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,319,Dragee,315,315,APPROVED,EQUAL
8718,international unit,Unit,Unit,UCUM,[iU],AUMC Unit,180,IE,406522,406522,APPROVED,EQUAL
9296,drop,Unit,Unit,UCUM,[drp],AUMC Unit,45,druppel,134697,134697,APPROVED,EQUAL
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,182,Capsule,262,262,APPROVED,EQUAL
8510,unit,Unit,Unit,UCUM,[U],AUMC Unit,178,E,175,175,APPROVED,EQUAL
9479,centigram,Unit,Unit,UCUM,cg,AUMC Unit,254,cg,4,4,APPROVED,EQUAL
9482,centiliter,Unit,Unit,UCUM,cL,AUMC Unit,287,cl,20,20,APPROVED,EQUAL
8784,cells per microliter,Unit,Unit,UCUM,{cells}/uL,AUMC Unit,159,cel/µl,1,1,APPROVED,EQUAL
9689,Million unit,Unit,Unit,UCUM,10*6.[U],AUMC Unit,181,10^6 IE,3699,3699,APPROVED,EQUAL
9486,deciliter,Unit,Unit,UCUM,dL,AUMC Unit,289,dl,2,2,APPROVED,EQUAL
9689,Million unit,Unit,Unit,UCUM,10*6.[U],AUMC Unit,179,10^6 E,45,45,APPROVED,EQUAL
8564,picogram,Unit,Unit,UCUM,pg,AUMC Unit,259,pg,7,7,APPROVED,EQUAL
,,,,,,AUMC Unit,191,Geen,41506,41506,UNCHECKED,UNREVIEWED
0,No matching concept,Metadata,Undefined,None,No matching concept,AUMC Unit,171,Aantal,18737,18737,APPROVED,EQUAL
9520,hectoliter,Unit,Unit,UCUM,hL,AUMC Unit,290,hl,3,3,APPROVED,EQUAL
9600,nanogram,Unit,Unit,UCUM,ng,AUMC Unit,258,ng,2,2,APPROVED,EQUAL
710257,hundred,Unit,Unit,UCUM,10*2,AUMC Unit,269,10^2,1,1,APPROVED,EQUAL
9606,nanoliter,Unit,Unit,UCUM,nL,AUMC Unit,292,nl,1,1,APPROVED,EQUAL
21053686,Allopurinol Oral Tablet [Zyloric],Drug,Branded Drug Form,RxNorm Extension,OMOP384812,AUMC Drug,9023-29,Allopurinol (Zyloric),596,596,APPROVED,EQUAL
4112439,Food,Observation,Substance,SNOMED,255620007,AUMC Drug,14992-56,1/2 plak vleeswaar,118,118,APPROVED,UNMATCHED
4037090,Cooked food,Observation,Substance,SNOMED,227999000,AUMC Drug,14904-56,3/4 portie stamppot zonder vlees,5,5,APPROVED,INEXACT
44109975,Methylene blue 10 MG/ML Injectable Solution,Drug,Clinical Drug,RxNorm Extension,OMOP1104606,AUMC Drug,13490-27,Methyleenblauw IV (Methylthionide cloride),4,4,APPROVED,EQUAL
43816742,Aluminum Hydroxide Oral Tablet [Algeldrate],Drug,Branded Drug Form,RxNorm Extension,OMOP905984,AUMC Drug,9024-31,Algeldraat (Alucol),20,20,APPROVED,EQUAL
36061387,chlorhexidine 40 MG/ML Topical Solution [Hibiscrub],Drug,Branded Drug,RxNorm Extension,OMOP4987295,AUMC Drug,19215-69,Chloorhexidine-oplossing 4% (Hibiscrub),658,658,APPROVED,EQUAL
4112439,Food,Observation,Substance,SNOMED,255620007,AUMC Drug,14993-56,3/4 plak vleeswaar,34,34,APPROVED,UNMATCHED
36035943,pamidronate Injectable Solution,Drug,Clinical Drug Form,RxNorm Extension,OMOP5045950,AUMC Drug,9025-67,Pamidroninezuur (APD),63,63,APPROVED,EQUAL
4037090,Cooked food,Observation,Substance,SNOMED,227999000,AUMC Drug,14905-56,1 portie nagerecht,806,806,APPROVED,INEXACT
44109975,Methylene blue 10 MG/ML Injectable Solution,Drug,Clinical Drug,RxNorm Extension,OMOP1104606,AUMC Drug,13490-65,Methyleenblauw IV (Methylthionide cloride),1,1,APPROVED,EQUAL
41452242,1970 ML Acetic Acid 1.72 MG/ML / Alanine 7.1 MG/ML / Arginine 6 MG/ML / Calcium 0.284 MG/ML / Glucose 133 MG/ML / Glycerophosphoric Acid 2.13 MG/ML / Glycine 5.7 MG/ML / Histidine 1.54 MG/ML / ... Injectable Solution [Structokabiven],Drug,Quant Branded Drug,RxNorm Extension,OMOP2650204,AUMC Drug,13042-39,TPV StructoKabiven+Glut,363,363,APPROVED,EQUAL
35754314,alanylglutamine 200 MG/ML Injectable Solution [Dipeptiven],Drug,Branded Drug,RxNorm Extension,OMOP2755775,AUMC Drug,13042-39,TPV StructoKabiven+Glut,363,363,APPROVED,EQUAL
40051596,hydroxychloroquine Oral Tablet [Plaquenil],Drug,Branded Drug Form,RxNorm,93787,AUMC Drug,19216-32,Hydroxychloroquine (Plaquenil),88,88,APPROVED,EQUAL
4112439,Food,Observation,Substance,SNOMED,255620007,AUMC Drug,14994-56,1 gekookt ei,542,542,APPROVED,UNMATCHED
43868590,13700 MG Polyethylene Glycols 0.956 MG/MG / Potassium Chloride 0.00366 MG/MG / Sodium Bicarbonate 0.013 MG/MG / Sodium Chloride 0.0256 MG/MG Oral Powder,Drug,Quant Clinical Drug,RxNorm Extension,OMOP788506,AUMC Drug,13498-119,Macrogol (Movicolon),46471,46471,APPROVED,EQUAL
4037090,Cooked food,Observation,Substance,SNOMED,227999000,AUMC Drug,14906-56,1/4 portie nagerecht,64,64,APPROVED,INEXACT
40044779,hydralazine Oral Tablet [Apresoline],Drug,Branded Drug Form,RxNorm,369330,AUMC Drug,9026-30,Hydralazine (Apresoline),23,23,APPROVED,EQUAL
4112439,Food,Observation,Substance,SNOMED,255620007,AUMC Drug,14995-56,1/4 gekookt ei,18,18,APPROVED,UNMATCHED
40081945,sertraline Oral Tablet [Zoloft],Drug,Branded Drug Form,RxNorm,368413,AUMC Drug,13044-29,Sertraline (Zoloft),134,134,APPROVED,EQUAL
35762060,Barium Oral Solution [E-Z-CAT],Drug,Branded Drug Form,RxNorm Extension,OMOP2763521,AUMC Drug,13501-119,E-Z-CAT (Contrastvloeistof),88,88,APPROVED,EQUAL
21031071,bimatoprost 0.3 MG/ML / Timolol 5 MG/ML [Ganfort],Drug,Branded Drug Comp,RxNorm Extension,OMOP272256,AUMC Drug,19217-69,"Ganfort (bimatoprost 0,03%/timolol 0,5%)",10,10,APPROVED,EQUAL
4037090,Cooked food,Observation,Substance,SNOMED,227999000,AUMC Drug,14907-56,1/2 portie nagerecht,109,109,APPROVED,INEXACT
4112439,Food,Observation,Substance,SNOMED,255620007,AUMC Drug,14996-56,1/2 gekookt ei,47,47,APPROVED,UNMATCHED
19033278,peanut oil,Drug,Ingredient,RxNorm,18235,AUMC Drug,9027-32,Arachidis olie,14,14,APPROVED,EQUAL
40128130,pregabalin Oral Capsule [Lyrica],Drug,Branded Drug Form,RxNorm,607017,AUMC Drug,13881-29,Pregabaline (Lyrica),2373,2373,APPROVED,EQUAL
40077428,phenobarbital Oral Tablet,Drug,Clinical Drug Form,RxNorm,373326,AUMC Drug,19219-29,Fenobarbital,87,87,APPROVED,EQUAL
4112439,Food,Observation,Substance,SNOMED,255620007,AUMC Drug,14997-56,3/4 gekookt ei,19,19,APPROVED,UNMATCHED
43179208,Fusidate 10 MG/ML Ophthalmic Gel,Drug,Clinical Drug,RxNorm Extension,OMOP449657,AUMC Drug,13045-69,Fusidinezuur oogdruppels (Fusithalmic),69,69,APPROVED,EQUAL
4037090,Cooked food,Observation,Substance,SNOMED,227999000,AUMC Drug,14908-56,3/4 portie nagerecht,36,36,APPROVED,INEXACT
40078418,pravastatin Oral Tablet,Drug,Clinical Drug Form,RxNorm,373560,AUMC Drug,13882-30,Pravastatine,1758,1758,APPROVED,EQUAL
41019970,bivalirudin Injectable Solution [Angiox],Drug,Branded Drug Form,RxNorm Extension,OMOP2217932,AUMC Drug,19220-65,Bivalirudine (Angiox),52,52,APPROVED,EQUAL
43857170,tizanidine Oral Tablet [Sirdalud],Drug,Branded Drug Form,RxNorm Extension,OMOP674035,AUMC Drug,13046-29,Tizanidine (Sirdalud),745,745,APPROVED,EQUAL
4112439,Food,Observation,Substance,SNOMED,255620007,AUMC Drug,14998-56,1 omelet/roerei,64,64,APPROVED,UNMATCHED
19113600,oxycodone hydrochloride 5 MG Oral Capsule [Oxynorm],Drug,Branded Drug,RxNorm,541046,AUMC Drug,13883-29,Oxycodon (OxyNorm),526,526,APPROVED,EQUAL
4037090,Cooked food,Observation,Substance,SNOMED,227999000,AUMC Drug,14909-56,1 portie fruit,745,745,APPROVED,INEXACT
40727762,Ipratropium 0.02 MG/ACTUAT Metered Dose Inhaler,Drug,Clinical Drug,RxNorm Extension,OMOP4729339,AUMC Drug,9028-70,Ipatropium bromide (Atrovent inhaletten),1156,1156,APPROVED,EQUAL
40232705,oxycodone hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],Drug,Branded Drug,RxNorm,1049506,AUMC Drug,19221-29,Oxycodon (OxyContin),413,413,APPROVED,EQUAL
44180682,Pancreatin 25000 UNT Oral Capsule [Panzytrat],Drug,Branded Drug,RxNorm Extension,OMOP3057405,AUMC Drug,13931-31,Panzytrat (Axcan),199,199,APPROVED,EQUAL
40729112,Factor VIIa Injectable Solution [Novoseven],Drug,Branded Drug Form,RxNorm Extension,OMOP4728093,AUMC Drug,13047-25,Eptacog Alpha (Novoseven),30,30,APPROVED,EQUAL
