itemid,item,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,14.0,Atr flut,,,,,,,,listitems,14186,14186.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,15.0,Junct,,,,,,,,listitems,2568,2568.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,16.0,PAT,,,,,,,,listitems,140,140.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,17.0,Sinus ari,,,,,,,,listitems,4046,4046.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,18.0,Sinus arr,,,,,,,,listitems,553,553.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,19.0,Sinus blk,,,,,,,,listitems,68,68.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,20.0,Sinus bra,,,,,,,,listitems,93519,93519.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,21.0,Sinus Tac,,,,,,,,listitems,394670,394670.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,22.0,SVT,,,,,,,,listitems,1967,1967.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,23.0,Ventr arr,,,,,,,,listitems,127,127.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,24.0,VF,,,,,,,,listitems,161,161.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,25.0,VT,,,,,,,,listitems,2357,2357.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,26.0,>QRS,,,,,,,,listitems,1080,1080.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,30.0,<ST-segment,,,,,,,,listitems,12,12.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,31.0,>QT-segment,,,,,,,,listitems,184,184.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,32.0,>ST-segment,,,,,,,,listitems,71,71.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,33.0,P.M-ritme,,,,,,,,listitems,57210,57210.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,34.0,AV-Nodaal,,,,,,,,listitems,3075,3075.0
6671,Hartritme,heart rhythm,LOINC,8884-9,Heart rate rhythm,Ritme,320,HD-Hartritme,hemodynamics-heart rhythm,,,0.0,35.0,Ventriculair,,,,,,,,listitems,811,811.0
6672,ST segment analyse afleiding V2,,,,,STv2,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,20795846,0.0
6673,ST segment analyse afleiding V3,,,,,STv3,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,20797797,0.0
6674,ST segment analyse afleiding V4,,,,,STv4,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,20768159,0.0
6675,ST segment analyse afleiding V5,,,,,STv5,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,20734499,0.0
6676,ST segment analyse afleiding V6,,,,,STv6,328,OLGV-OUD,,,,0.0,,,51.0,mm,mm,,,,,numericitems,20555806,0.0
6678,Niet invasieve bloeddruk systolisch,non-invasive systolic arterial pressure,LOINC,76534-7,Systolic blood pressure by Noninvasive,NIBPs,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0.0,,,173.0,mmHg,mm[Hg],,,40.0,250.0,numericitems,192123,123684.0
6679,Niet invasieve bloeddruk gemiddeld,non-invasive mean arterial pressure,LOINC,76536-2,Mean blood pressure by Noninvasive,NIBPm,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0.0,,,173.0,mmHg,mm[Hg],,,30.0,150.0,numericitems,190760,122240.0
6680,Niet invasieve bloeddruk diastolisch,non-invasive diastolic arterial pressure,LOINC,76535-4,Diastolic blood pressure by Noninvasive,NIBPd,323,HD-Bloeddrukken,hemodynamics-blood pressures,,,0.0,,,173.0,mmHg,mm[Hg],,,20.0,150.0,numericitems,190431,122297.0
6684,Vloeistofvolume ingesteld,,,,,Vloeistofvolume ingesteld,351,CVVH-Instellingen,,,,0.0,,,6.0,ml,mL,,,,,numericitems,68150,57157.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,1.0,CPPV,,,,,,,,listitems,118,118.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,3.0,ASB,,,,,,,,listitems,213,213.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,5.0,CPPV/ASSIST,,,,,,,,listitems,73,73.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,6.0,SIMV/ASB,,,,,,,,listitems,3,3.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,8.0,IPPV,,,,,,,,listitems,317,235.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,9.0,IPPV/ASSIST,,,,,,,,listitems,2438,2020.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,10.0,CPAP,,,,,,,,listitems,1731,1525.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,11.0,CPAP/ASB,,,,,,,,listitems,26017,23755.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,12.0,MMV,,,,,,,,listitems,11,11.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,13.0,MMV/ASB,,,,,,,,listitems,94,92.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,14.0,BIPAP,,,,,,,,listitems,6518,6246.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,20.0,BIPAP-SIMV/ASB,,,,,,,,listitems,1,1.0
6685,Type Beademing Evita 4,mechanical ventilation mode,LOINC,20124-4,Ventilation mode Ventilator,Type Evita 4,330,ZZ-OUD-Resp-Evita Machinegegevens,,,,0.0,22.0,BIPAP/ASB,,,,,,,,listitems,7075,6629.0
6694,Eind exp. druk,positive end expiratory pressure measurement,LOINC,76248-4,PEEP Respiratory system --on ventilator,PEEP,586,RESP-Servo Patiëntgegevens,,,,0.0,,,175.0,cmH2O,cm[H2O],,,,,numericitems,15624081,1278830.0
6696,Maagretentie,,,,,MaagRetentie,265,Gastro-intestinaal,,,,0.0,,,6.0,ml,mL,,,,,numericitems,1,1.0
6698,PIP,,,,,PIP,591,RESP-Bipap Vision Patiëntgegevens,,,,0.0,,,175.0,cmH2O,cm[H2O],,,,,numericitems,93,93.0
6699,FiO2 %,inspired oxygen concentration setting,LOINC,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,FiO2%,329,RESP-O2aanbod,,,,0.0,,,191.0,Geen,,,,,,numericitems,91881,83474.0
6707,End tidal CO2 concentratie,end tidal carbon dioxide partial pressure,LOINC,19891-1,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,EtCO2,586,RESP-Servo Patiëntgegevens,,,,0.0,,,173.0,mmHg,mm[Hg],,,,,numericitems,10327178,666550.0
6709,Saturatie (Monitor),oxygen saturation SpO2,LOINC,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,Saturatie Monitor,586,RESP-Servo Patiëntgegevens,,,,0.0,,,0.0,None,,,,,,numericitems,36411768,2076750.0
6710,Compliance,,,,,Compliance,331,ZZ-OUD-Resp-PatientGeg.,,,,0.0,,,0.0,None,,,,,,numericitems,53850,50114.0
6732,Actief openen van de ogen,Glasgow Coma Score eye opening subscore,LOINC,9267-6,Glasgow coma score eye opening,E,335,NEURO-GCS,,,,0.0,1.0,Spontane reactie,,,[score],,,1.0,4.0,listitems,103268,103268.0
6732,Actief openen van de ogen,Glasgow Coma Score eye opening subscore,LOINC,9267-6,Glasgow coma score eye opening,E,335,NEURO-GCS,,,,0.0,2.0,Reactie op verbale prikkel,,,[score],,,1.0,4.0,listitems,47877,47877.0
6732,Actief openen van de ogen,Glasgow Coma Score eye opening subscore,LOINC,9267-6,Glasgow coma score eye opening,E,335,NEURO-GCS,,,,0.0,3.0,Reactie op pijnprikkel,,,[score],,,1.0,4.0,listitems,12101,12101.0
6732,Actief openen van de ogen,Glasgow Coma Score eye opening subscore,LOINC,9267-6,Glasgow coma score eye opening,E,335,NEURO-GCS,,,,0.0,4.0,Geen reactie,,,[score],,,1.0,4.0,listitems,44421,44421.0
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,335,NEURO-GCS,,,,0.0,1.0,Volgt verbale commando's op,,,[score],,,1.0,6.0,listitems,112307,112307.0
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,335,NEURO-GCS,,,,0.0,2.0,Localiseert pijn,,,[score],,,1.0,6.0,listitems,19694,19694.0
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,335,NEURO-GCS,,,,0.0,3.0,Spastische reactie (terugtrekken),,,[score],,,1.0,6.0,listitems,23361,23361.0
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,335,NEURO-GCS,,,,0.0,4.0,Decortatie reflex (abnormaal buigen),,,[score],,,1.0,6.0,listitems,3368,3368.0
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,335,NEURO-GCS,,,,0.0,5.0,Strekken,,,[score],,,1.0,6.0,listitems,7128,7128.0
6734,Beste motore reactie van de armen,Glasgow Coma Score motor response subscore,LOINC,9268-4,Glasgow coma score motor,M,335,NEURO-GCS,,,,0.0,6.0,Geen reactie,,,[score],,,1.0,6.0,listitems,32463,32463.0
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,335,NEURO-GCS,,,,0.0,1.0,Helder en adequaat (communicatie mogelijk),,,[score],,,1.0,5.0,listitems,59420,59420.0
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,335,NEURO-GCS,,,,0.0,2.0,Verwarde conversatie,,,[score],,,1.0,5.0,listitems,13303,13303.0
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,335,NEURO-GCS,,,,0.0,3.0,"Onduidelijke woorden (pogingen tot communicatie, maar onduidelijk)",,,[score],,,1.0,5.0,listitems,3783,3783.0
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,335,NEURO-GCS,,,,0.0,4.0,Onbegrijpelijke geluiden,,,[score],,,1.0,5.0,listitems,9115,9115.0
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,335,NEURO-GCS,,,,0.0,5.0,Geen reactie (geen zichtbare poging tot praten),,,[score],,,1.0,5.0,listitems,18623,18623.0
6735,Beste verbale reactie,Glasgow Coma Score verbal response subscore,LOINC,9270-0,Glasgow coma score verbal,V,335,NEURO-GCS,,,,0.0,8.0,Geïntubeerd,,,[score],,,1.0,5.0,listitems,101764,101764.0
6767,Antithrombine III,,,,,ATIII,377,LAB STOLLING,,,,1.0,,,0.0,None,,87,125,,,numericitems,2,2.0
6768,Basofielen,,,,,Basofielen,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,0,1,,,numericitems,36,36.0
6771,Cephalinetyd,,,,,CT/APTT,377,LAB STOLLING,,,,1.0,,,3.0,sec,s,30,40,,,numericitems,5975,5975.0
6772,Eos Abs Tel,,,,,EoAbs,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,0,600,,,numericitems,3,3.0
6773,Eosinofielen,,,,,Eosinofielen,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,1,4,,,numericitems,44,44.0
6774,Erythrocyten,,,,,Erythrocyten,370,LAB HEMATOLOGIE,,,,1.0,,,53.0,10^12/l,10*12/L,4,"5,5",,,numericitems,251,251.0
6775,FibrAfbrProd,,,,,FDP,370,LAB HEMATOLOGIE,,,,1.0,,,64.0,mg/dl,mg/dL,0,1,,,numericitems,2,2.0
6776,Fibrinogeen,,,,,Fibrinogeen,370,LAB HEMATOLOGIE,,,,1.0,,,62.0,g/l,g/L,"2,5","4,5",,,numericitems,35,35.0
6777,Hematocriet,hematocrit,LOINC,20570-8,Hematocrit [Volume Fraction] of Blood,Ht,370,LAB HEMATOLOGIE,,,,1.0,,,8.0,l,L,"0,35","0,5",,,numericitems,7511,7511.0
6778,Hemoglobine,hemoglobin,LOINC,59260-0,Hemoglobin [Moles/volume] in Blood],Hb,370,LAB HEMATOLOGIE,,,,1.0,,,97.0,mmol/l,mmol/L,"7,5",11,,,numericitems,7603,7603.0
6779,Leucocyten,white blood cell count,LOINC,26464-8,Leukocytes [#/volume] in Blood,Leucocyten,370,LAB HEMATOLOGIE,,,,1.0,,,101.0,10^9/l,10*9/L,4,10,,,numericitems,6474,6474.0
6780,Lymfocyten Abs,,,,,LymfoAbs,370,LAB HEMATOLOGIE,,,,1.0,,,101.0,10^9/l,10*9/L,"1,2","2,9",,,numericitems,1,1.0
6781,Lymfocyten,,,,,Lymfocyten,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,20,45,,,numericitems,48,48.0
6782,M.C.H.,,,,,MCH,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,1720,2200,,,numericitems,140,140.0
6783,M.C.H.C.,,,,,MCHC,370,LAB HEMATOLOGIE,,,,1.0,,,97.0,mmol/l,mmol/L,"19,3","22,8",,,numericitems,139,139.0
6784,M.C.V.,,,,,MCV,370,LAB HEMATOLOGIE,,,,1.0,,,55.0,fl,fL,84,104,,,numericitems,141,141.0
6785,Monocyten,,,,,Monocyten,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,1,9,,,numericitems,49,49.0
6786,Neutrofielen,,,,,Neutrofielen,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,45,70,,,numericitems,40,40.0
6789,Protrombinetijd,,,,,Protrombinetijd,377,LAB STOLLING,,,,1.0,,,3.0,sec,s,,,,,numericitems,5800,5800.0
6791,Reticulocyt,,,,,Reticulocyten,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,5,20,,,numericitems,30,30.0
6795,Segm. kernigen,,,,,Segm. kernigen,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,45,70,,,numericitems,11,11.0
6796,Staafkernig,,,,,Staafkernig,370,LAB HEMATOLOGIE,,,,1.0,,,0.0,None,,1,4,,,numericitems,7,7.0
6797,Thrombocyten,platelets,LOINC,26515-7,Platelets [#/volume] in Blood,Thrombocyten,370,LAB HEMATOLOGIE,,,,1.0,,,101.0,10^9/l,10*9/L,150,350,,,numericitems,7201,7201.0
6798,Thrombinetijd,,,,,Thrombinetijd,377,LAB STOLLING,,,,1.0,,,3.0,sec,s,16,20,,,numericitems,5,5.0
6799,Abciximab (Reopro),,,,,Abciximab (Reopro),268,Medicatie,,65.0,2. Spuitpompen,,,,,,,,,,,drugitems,103,
6799,Abciximab (Reopro),,,,,Abciximab (Reopro),268,Medicatie,,25.0,Injecties Haematologisch,,,,,,,,,,,drugitems,5,
6800,ALAT,,,,,ALAT,371,LAB CHEMIE,,,,1.0,,,186.0,IE/l,[IU]/L,0,28,,,numericitems,2185,2185.0
6801,Albumine chemisch,,,,,Alb. chemisch,371,LAB CHEMIE,,,,1.0,,,62.0,g/l,g/L,20,40,,,numericitems,3064,3064.0
6802,Acenocoumarol (Sintrom mitis),acenocoumarol,ATC,B01AA07,acenocoumarol,Sintrom mitis,268,Medicatie,,32.0,Niet iv Overig,,,,,,,,,,,drugitems,2905,
6803,Alk. Fosfatase,,,,,Alk.Fosfatase,371,LAB CHEMIE,,,,1.0,,,186.0,IE/l,[IU]/L,0,90,,,numericitems,1971,1971.0
6804,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,27.0,Injecties Overig,,,,,,,,,,,drugitems,656,
6804,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,32.0,Niet iv Overig,,,,,,,,,,,drugitems,626,
6804,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,30.0,Niet iv Circulatie/Diurese,,,,,,,,,,,drugitems,2151,
6804,Acetazolamide (Diamox),acetazolamide,ATC,S01EC01,acetazolamide,Acetazolamide,268,Medicatie,,24.0,Injecties Circulatie/Diuretica,,,,,,,,,,,drugitems,3910,
6805,Ammoniak,,,,,Ammoniak,371,LAB CHEMIE,,,,1.0,,,56.0,µmol,umol,0,50,,,numericitems,47,47.0
6806,ASAT,,,,,ASAT,371,LAB CHEMIE,,,,1.0,,,186.0,IE/l,[IU]/L,0,21,,,numericitems,2187,2187.0
6807,B.E.,,,,,B.E.,372,LAB ASTRUPS,,,,1.0,,,97.0,mmol/l,mmol/L,-5,4,,,numericitems,25210,25210.0
6808,Bezinking,,,,,BSE,370,LAB HEMATOLOGIE,,,,1.0,,,51.0,mm,mm,2,6,,,numericitems,172,172.0
6810,HCO3,,,,,HCO3,372,LAB ASTRUPS,,,,1.0,,,97.0,mmol/l,mmol/L,20,30,,,numericitems,25251,25251.0
